prod_id,description,prod_type,qty_avail
prod0001,"Dresser; size: M, color: bronze, finish: oil",bedroom,15
prod0002,"Book shelf; size: S, color: green, finish: paint",bedroom,27
prod0003,"Stool; size: M, color: bronze, finish: oil",livingroom,5
prod0004,"Desk; size: XL, color: white, finish: varnish",livingroom,11
prod0005,"Stool; size: L, color: brown, finish: oil",livingroom,17
prod0006,"Coffee table; size: S, color: gold, finish: gold",bedroom,5
prod0007,"Sofa; size: S, color: white, finish: chrome",kitchen,7
prod0008,"Stand; size: M, color: black, finish: varnish",bedroom,3
prod0009,"Desk; size: S, color: red, finish: diamonds",kitchen,20
prod0010,"End table; size: S, color: silver, finish: lacquer",bedroom,20
prod0011,"End table; size: M, color: purple, finish: varnish",bedroom,29
prod0012,"End table; size: XL, color: green, finish: silver",kitchen,12
prod0013,"Bar stool; size: M, color: brown, finish: wood",kitchen,14
prod0014,"Stool; size: S, color: purple, finish: resin",livingroom,0
prod0015,"Bar stool; size: S, color: brown, finish: gold",livingroom,24
prod0016,"TV stand; size: S, color: silver, finish: paint",bedroom,8
prod0017,"End table; size: S, color: green, finish: varnish",bedroom,17
prod0018,"Desk; size: M, color: red, finish: chrome",livingroom,26
prod0019,"L-shaped sofa; size: L, color: black, finish: wood",livingroom,16
prod0020,"Sofa; size: L, color: bronze, finish: gold",livingroom,28
prod0021,"Book shelf; size: S, color: green, finish: lacquer",livingroom,21
prod0022,"Sofa; size: S, color: black, finish: varnish",kitchen,7
prod0023,"Book shelf; size: L, color: brown, finish: silver",bedroom,23
prod0024,"Dining table; size: S, color: bronze, finish: varnish",kitchen,3
prod0025,"Sofa; size: XL, color: gold, finish: bare",kitchen,6
prod0026,"Book shelf; size: M, color: silver, finish: diamonds",kitchen,21
prod0027,"Dining table; size: M, color: black, finish: varnish",livingroom,22
prod0028,"Coffee table; size: XL, color: brown, finish: lacquer",bedroom,2
prod0029,"L-shaped sofa; size: M, color: gold, finish: paint",kitchen,1
prod0030,"Stand; size: XL, color: blue, finish: paint",kitchen,26
prod0031,"Stool; size: M, color: white, finish: platinum",bedroom,14
prod0032,"Stool; size: XL, color: blue, finish: oil",kitchen,18
prod0033,"Dresser; size: M, color: white, finish: diamonds",kitchen,23
prod0034,"Bar stool; size: L, color: silver, finish: varnish",bedroom,18
prod0035,"Dresser; size: S, color: red, finish: lacquer",livingroom,28
prod0036,"Stool; size: S, color: gold, finish: paint",livingroom,21
prod0037,"Sofa; size: M, color: white, finish: silver",kitchen,23
prod0038,"TV stand; size: L, color: purple, finish: chrome",bedroom,1
prod0039,"TV stand; size: M, color: brown, finish: chrome",kitchen,12
prod0040,"Stool; size: S, color: black, finish: varnish",bedroom,26
prod0041,"Bar stool; size: M, color: gold, finish: paint",kitchen,2
prod0042,"Desk; size: M, color: blue, finish: chrome",livingroom,27
prod0043,"Sofa; size: M, color: black, finish: resin",bedroom,19
prod0044,"Book shelf; size: L, color: gold, finish: varnish",bedroom,1
prod0045,"Dining table; size: XL, color: gold, finish: oil",kitchen,8
prod0046,"Book shelf; size: XL, color: silver, finish: resin",bedroom,6
prod0047,"Dresser; size: M, color: gold, finish: diamonds",kitchen,27
prod0048,"Stool; size: XL, color: purple, finish: silver",bedroom,7
prod0049,"Bar stool; size: M, color: bronze, finish: gold",livingroom,13
prod0050,"Book shelf; size: M, color: silver, finish: varnish",kitchen,29
prod0051,"Dresser; size: S, color: blue, finish: platinum",kitchen,3
prod0052,"Coffee table; size: S, color: silver, finish: gold",bedroom,0
